country,placename,frequency,start_date,end_date,year,month,week,deaths,expected_deaths,excess_deaths,baseline
Austria,,weekly,2020-01-06,2020-01-12,2020,1,2,1702,1814,-112,2015-2019 historical data
Austria,,weekly,2020-01-13,2020-01-19,2020,1,3,1797,1824,-27,2015-2019 historical data
Austria,,weekly,2020-01-20,2020-01-26,2020,1,4,1778,1832,-54,2015-2019 historical data
United Kingdom,,weekly,2020-04-18,2020-04-24,2020,4,17,24303,12078,12225,2010-2019 historical data
United Kingdom,,weekly,2020-04-25,2020-05-01,2020,5,18,20059,11922,8137,2010-2019 historical data
United Kingdom,,weekly,2020-05-02,2020-05-08,2020,5,19,14428,10373,4055,2010-2019 historical data
United Kingdom,,weekly,2020-05-09,2020-05-15,2020,5,20,16390,11569,4821,2010-2019 historical data
United Kingdom,,weekly,2020-05-16,2020-05-22,2020,5,21,13839,11386,2453,2010-2019 historical data
United Kingdom,,weekly,2020-05-23,2020-05-29,2020,5,22,11268,9833,1435,2010-2019 historical data
United States,Boston,weekly,2015-01-04,2015-01-10,2015,1,2,362,,,
United States,Boston,weekly,2015-01-11,2015-01-17,2015,1,3,419,,,
United States,Boston,weekly,2015-01-18,2015-01-24,2015,1,4,407,,,
United States,Boston,weekly,2015-01-25,2015-01-31,2015,1,5,470,,,
United States,Boston,weekly,2015-02-01,2015-02-07,2015,2,6,417,,,
United States,Boston,weekly,2015-02-08,2015-02-14,2015,2,7,423,,,
United States,Boston,weekly,2015-02-15,2015-02-21,2015,2,8,415,,,
United States,Detroit,weekly,2020-03-22,2020-03-28,2020,3,13,1082,764,318,2017 - 2019 historical data
United States,Detroit,weekly,2020-03-29,2020-04-04,2020,4,14,1563,731,832,2017 - 2019 historical data
United States,Detroit,weekly,2020-04-05,2020-04-11,2020,4,15,1670,755,915,2017 - 2019 historical data
United States,Detroit,weekly,2020-04-12,2020-04-18,2020,4,16,1426,713,713,2017 - 2019 historical data
United States,Detroit,weekly,2020-04-19,2020-04-25,2020,4,17,929,755,174,2017 - 2019 historical data
United States,Detroit,weekly,2020-04-26,2020-05-02,2020,5,18,314,697,-383,2017 - 2019 historical data
United States,,weekly,2020-01-06,2020-01-12,2020,1,2,50693,50668,25,2015-2019 historical data
United States,,weekly,2020-01-13,2020-01-19,2020,1,3,49475,50118,-643,2015-2019 historical data
United States,,weekly,2020-01-20,2020-01-26,2020,1,4,49016,49916,-900,2015-2019 historical data
United States,,weekly,2020-01-27,2020-02-02,2020,2,5,48765,50651,-1886,2015-2019 historical data
United States,,weekly,2020-02-03,2020-02-09,2020,2,6,49371,50511,-1140,2015-2019 historical data
United States,,weekly,2020-02-10,2020-02-16,2020,2,7,48909,50175,-1266,2015-2019 historical data
United States,,weekly,2020-02-17,2020-02-23,2020,2,8,49063,49827,-764,2015-2019 historical data
United States,,weekly,2020-02-24,2020-03-01,2020,3,9,49405,49491,-86,2015-2019 historical data
United States,,weekly,2020-03-02,2020-03-08,2020,3,10,49625,49151,474,2015-2019 historical data
United States,,weekly,,,2015-2019 average,1,2,50644,,,
United States,,weekly,,,2015-2019 average,1,3,50761,,,
United States,,weekly,,,2015-2019 average,1,4,50817,,,
United States,,weekly,,,2015-2019 average,2,5,50651,,,
United States,,weekly,,,2015-2019 average,2,6,50511,,,
United States,,weekly,,,2015-2019 average,2,7,50175,,,
United States,,weekly,,,2015-2019 average,2,8,49827,,,
United States,,weekly,,,2015-2019 average,3,9,49491,,,
United States,,weekly,,,2015-2019 average,3,10,49151,,,
United States,,weekly,,,2015-2019 average,3,11,48771,,,
United States,,weekly,,,2015-2019 average,3,12,48316,,,
United States,,weekly,,,2015-2019 average,3,13,47883,,,
United States,,weekly,,,2015-2019 average,4,14,47436,,,
United States,,weekly,,,2015-2019 average,4,15,47035,,,
United States,,weekly,,,2015-2019 average,4,16,46548,,,
United States,,weekly,,,2015-2019 average,4,17,46109,,,
United States,,weekly,,,2015-2019 average,5,18,45760,,,
United States,,weekly,,,2015-2019 average,5,19,45424,,,
United States,,weekly,,,2015-2019 average,5,20,45185,,,
United States,,weekly,,,2015-2019 average,5,21,44945,,,
United States,,weekly,,,2015-2019 average,6,22,44677,,,
United States,,weekly,,,2015-2019 average,6,23,44532,,,
United States,,weekly,,,2015-2019 average,6,24,44402,,,
United States,,weekly,,,2015-2019 average,6,25,44311,,,
United States,,weekly,,,2015-2019 average,6,26,44185,,,
United States,,weekly,,,2015-2019 average,7,27,44129,,,
United States,,weekly,,,2015-2019 average,7,28,44023,,,
United States,,weekly,,,2015-2019 average,7,29,43945,,,
United States,,weekly,,,2015-2019 average,7,30,43840,,,
United States,,weekly,,,2015-2019 average,8,31,43794,,,
United States,,weekly,,,2015-2019 average,8,32,43740,,,
United States,,weekly,,,2015-2019 average,8,33,43746,,,
United States,,weekly,,,2015-2019 average,8,34,43755,,,
United States,,weekly,,,2015-2019 average,9,35,43834,,,
United States,,weekly,,,2015-2019 average,9,36,44008,,,
United States,,weekly,,,2015-2019 average,9,37,44234,,,
United States,,weekly,,,2015-2019 average,9,38,44509,,,
United States,,weekly,,,2015-2019 average,9,39,44785,,,
United States,,weekly,,,2015-2019 average,10,40,45064,,,
United States,,weekly,,,2015-2019 average,10,41,45279,,,
United States,,weekly,,,2015-2019 average,10,42,45454,,,
United States,,weekly,,,2015-2019 average,10,43,45668,,,
United States,,weekly,,,2015-2019 average,11,44,45851,,,
United States,,weekly,,,2015-2019 average,11,45,46184,,,
United States,,weekly,,,2015-2019 average,11,46,46619,,,
United States,,weekly,,,2015-2019 average,11,47,47199,,,
United States,,weekly,,,2015-2019 average,12,48,47946,,,
United States,,weekly,,,2015-2019 average,12,49,48758,,,
United States,,weekly,,,2015-2019 average,12,50,49557,,,
United States,,weekly,,,2015-2019 average,12,51,50286,,,
